id,path,r0,r1,c0,c1
65,/home/dziurawy-beret/houzz_final/00002.jpg,155,351,761,957
66,/home/dziurawy-beret/houzz_final/00002.jpg,192,388,464,660
67,/home/dziurawy-beret/houzz_final/00002.jpg,572,768,30,226
68,/home/dziurawy-beret/houzz_final/00002.jpg,71,267,138,334
69,/home/dziurawy-beret/houzz_final/00002.jpg,362,558,548,744
70,/home/dziurawy-beret/houzz_final/00002.jpg,162,358,718,914
71,/home/dziurawy-beret/houzz_final/00002.jpg,122,318,92,288
72,/home/dziurawy-beret/houzz_final/00002.jpg,160,356,796,992
73,/home/dziurawy-beret/houzz_final/00002.jpg,394,590,778,974
74,/home/dziurawy-beret/houzz_final/00002.jpg,453,649,714,910
75,/home/dziurawy-beret/houzz_final/00002.jpg,9,205,450,646
76,/home/dziurawy-beret/houzz_final/00002.jpg,292,488,465,661
77,/home/dziurawy-beret/houzz_final/00002.jpg,564,760,321,517
78,/home/dziurawy-beret/houzz_final/00002.jpg,113,309,498,694
79,/home/dziurawy-beret/houzz_final/00002.jpg,268,464,737,933
80,/home/dziurawy-beret/houzz_final/00002.jpg,378,574,79,275
81,/home/dziurawy-beret/houzz_final/00002.jpg,339,535,341,537
82,/home/dziurawy-beret/houzz_final/00002.jpg,275,471,484,680
83,/home/dziurawy-beret/houzz_final/00002.jpg,208,404,29,225
84,/home/dziurawy-beret/houzz_final/00002.jpg,311,507,14,210
85,/home/dziurawy-beret/houzz_final/00002.jpg,296,492,809,1005
86,/home/dziurawy-beret/houzz_final/00002.jpg,287,483,271,467
87,/home/dziurawy-beret/houzz_final/00002.jpg,228,424,650,846
88,/home/dziurawy-beret/houzz_final/00002.jpg,74,270,217,413
89,/home/dziurawy-beret/houzz_final/00002.jpg,205,401,616,812
90,/home/dziurawy-beret/houzz_final/00003.jpg,477,673,32,228
91,/home/dziurawy-beret/houzz_final/00003.jpg,299,495,426,622
92,/home/dziurawy-beret/houzz_final/00003.jpg,454,650,7,203
93,/home/dziurawy-beret/houzz_final/00003.jpg,415,611,526,722
94,/home/dziurawy-beret/houzz_final/00003.jpg,470,666,161,357
95,/home/dziurawy-beret/houzz_final/00003.jpg,39,235,234,430
96,/home/dziurawy-beret/houzz_final/00003.jpg,226,422,436,632
97,/home/dziurawy-beret/houzz_final/00003.jpg,125,321,423,619
98,/home/dziurawy-beret/houzz_final/00003.jpg,206,402,27,223
99,/home/dziurawy-beret/houzz_final/00003.jpg,399,595,199,395
100,/home/dziurawy-beret/houzz_final/00003.jpg,219,415,147,343
101,/home/dziurawy-beret/houzz_final/00003.jpg,172,368,525,721
102,/home/dziurawy-beret/houzz_final/00003.jpg,70,266,128,324
103,/home/dziurawy-beret/houzz_final/00003.jpg,272,468,210,406
104,/home/dziurawy-beret/houzz_final/00003.jpg,537,733,692,888
105,/home/dziurawy-beret/houzz_final/00003.jpg,293,489,762,958
106,/home/dziurawy-beret/houzz_final/00003.jpg,257,453,204,400
107,/home/dziurawy-beret/houzz_final/00003.jpg,455,651,341,537
108,/home/dziurawy-beret/houzz_final/00003.jpg,15,211,635,831
109,/home/dziurawy-beret/houzz_final/00003.jpg,99,295,709,905
110,/home/dziurawy-beret/houzz_final/00003.jpg,474,670,773,969
111,/home/dziurawy-beret/houzz_final/00003.jpg,142,338,808,1004
112,/home/dziurawy-beret/houzz_final/00003.jpg,201,397,185,381
113,/home/dziurawy-beret/houzz_final/00003.jpg,223,419,643,839
114,/home/dziurawy-beret/houzz_final/00003.jpg,347,543,362,558
115,/home/dziurawy-beret/houzz_final/00003.jpg,211,407,627,823
116,/home/dziurawy-beret/houzz_final/00003.jpg,19,215,198,394
117,/home/dziurawy-beret/houzz_final/00003.jpg,75,271,632,828
118,/home/dziurawy-beret/houzz_final/00003.jpg,93,289,63,259
119,/home/dziurawy-beret/houzz_final/00003.jpg,517,713,265,461
120,/home/dziurawy-beret/houzz_final/00004.jpg,34,230,456,652
121,/home/dziurawy-beret/houzz_final/00004.jpg,55,251,180,376
122,/home/dziurawy-beret/houzz_final/00004.jpg,20,216,520,716
123,/home/dziurawy-beret/houzz_final/00004.jpg,568,764,558,754
124,/home/dziurawy-beret/houzz_final/00004.jpg,218,414,219,415
125,/home/dziurawy-beret/houzz_final/00004.jpg,181,377,35,231
126,/home/dziurawy-beret/houzz_final/00004.jpg,533,729,48,244
127,/home/dziurawy-beret/houzz_final/00004.jpg,390,586,48,244
128,/home/dziurawy-beret/houzz_final/00004.jpg,212,408,703,899
129,/home/dziurawy-beret/houzz_final/00004.jpg,436,632,654,850
130,/home/dziurawy-beret/houzz_final/00004.jpg,86,282,244,440
131,/home/dziurawy-beret/houzz_final/00004.jpg,134,330,625,821
132,/home/dziurawy-beret/houzz_final/00004.jpg,126,322,339,535
133,/home/dziurawy-beret/houzz_final/00004.jpg,488,684,541,737
134,/home/dziurawy-beret/houzz_final/00004.jpg,31,227,632,828
135,/home/dziurawy-beret/houzz_final/00004.jpg,124,320,48,244
136,/home/dziurawy-beret/houzz_final/00004.jpg,116,312,559,755
137,/home/dziurawy-beret/houzz_final/00004.jpg,315,511,739,935
138,/home/dziurawy-beret/houzz_final/00004.jpg,541,737,48,244
139,/home/dziurawy-beret/houzz_final/00004.jpg,43,239,353,549
140,/home/dziurawy-beret/houzz_final/00004.jpg,40,236,378,574
141,/home/dziurawy-beret/houzz_final/00004.jpg,275,471,125,321
142,/home/dziurawy-beret/houzz_final/00004.jpg,196,392,264,460
143,/home/dziurawy-beret/houzz_final/00004.jpg,134,330,153,349
144,/home/dziurawy-beret/houzz_final/00004.jpg,286,482,549,745
145,/home/dziurawy-beret/houzz_final/00004.jpg,128,324,796,992
146,/home/dziurawy-beret/houzz_final/00004.jpg,151,347,326,522
147,/home/dziurawy-beret/houzz_final/00004.jpg,274,470,698,894
148,/home/dziurawy-beret/houzz_final/00004.jpg,486,682,254,450
149,/home/dziurawy-beret/houzz_final/00004.jpg,23,219,745,941
150,/home/dziurawy-beret/houzz_final/00005.jpg,244,440,446,642
151,/home/dziurawy-beret/houzz_final/00005.jpg,139,335,534,730
152,/home/dziurawy-beret/houzz_final/00005.jpg,457,653,295,491
153,/home/dziurawy-beret/houzz_final/00005.jpg,134,330,120,316
154,/home/dziurawy-beret/houzz_final/00005.jpg,548,744,726,922
155,/home/dziurawy-beret/houzz_final/00005.jpg,401,597,109,305
156,/home/dziurawy-beret/houzz_final/00005.jpg,67,263,252,448
157,/home/dziurawy-beret/houzz_final/00005.jpg,563,759,302,498
158,/home/dziurawy-beret/houzz_final/00005.jpg,505,701,38,234
159,/home/dziurawy-beret/houzz_final/00005.jpg,205,401,263,459
160,/home/dziurawy-beret/houzz_final/00005.jpg,207,403,175,371
161,/home/dziurawy-beret/houzz_final/00005.jpg,307,503,722,918
162,/home/dziurawy-beret/houzz_final/00005.jpg,103,299,437,633
163,/home/dziurawy-beret/houzz_final/00005.jpg,570,766,197,393
164,/home/dziurawy-beret/houzz_final/00005.jpg,68,264,586,782
165,/home/dziurawy-beret/houzz_final/00005.jpg,153,349,751,947
166,/home/dziurawy-beret/houzz_final/00005.jpg,397,593,121,317
167,/home/dziurawy-beret/houzz_final/00005.jpg,447,643,721,917
168,/home/dziurawy-beret/houzz_final/00005.jpg,449,645,71,267
169,/home/dziurawy-beret/houzz_final/00005.jpg,461,657,580,776
170,/home/dziurawy-beret/houzz_final/00005.jpg,498,694,480,676
171,/home/dziurawy-beret/houzz_final/00005.jpg,548,744,399,595
172,/home/dziurawy-beret/houzz_final/00005.jpg,19,215,717,913
173,/home/dziurawy-beret/houzz_final/00005.jpg,45,241,415,611
174,/home/dziurawy-beret/houzz_final/00005.jpg,315,511,401,597
175,/home/dziurawy-beret/houzz_final/00005.jpg,140,336,258,454
176,/home/dziurawy-beret/houzz_final/00005.jpg,430,626,350,546
177,/home/dziurawy-beret/houzz_final/00005.jpg,321,517,386,582
178,/home/dziurawy-beret/houzz_final/00005.jpg,169,365,335,531
179,/home/dziurawy-beret/houzz_final/00005.jpg,423,619,689,885
180,/home/dziurawy-beret/houzz_final/00006.jpg,18,214,783,979
181,/home/dziurawy-beret/houzz_final/00006.jpg,93,289,396,592
182,/home/dziurawy-beret/houzz_final/00006.jpg,174,370,794,990
183,/home/dziurawy-beret/houzz_final/00006.jpg,216,412,90,286
184,/home/dziurawy-beret/houzz_final/00006.jpg,480,676,301,497
185,/home/dziurawy-beret/houzz_final/00006.jpg,290,486,471,667
186,/home/dziurawy-beret/houzz_final/00006.jpg,180,376,639,835
187,/home/dziurawy-beret/houzz_final/00006.jpg,471,667,469,665
188,/home/dziurawy-beret/houzz_final/00006.jpg,117,313,440,636
189,/home/dziurawy-beret/houzz_final/00006.jpg,352,548,563,759
190,/home/dziurawy-beret/houzz_final/00006.jpg,130,326,146,342
191,/home/dziurawy-beret/houzz_final/00006.jpg,430,626,492,688
192,/home/dziurawy-beret/houzz_final/00006.jpg,58,254,466,662
193,/home/dziurawy-beret/houzz_final/00006.jpg,32,228,228,424
194,/home/dziurawy-beret/houzz_final/00006.jpg,47,243,638,834
195,/home/dziurawy-beret/houzz_final/00006.jpg,44,240,635,831
196,/home/dziurawy-beret/houzz_final/00006.jpg,544,740,779,975
197,/home/dziurawy-beret/houzz_final/00006.jpg,347,543,605,801
198,/home/dziurawy-beret/houzz_final/00006.jpg,294,490,250,446
199,/home/dziurawy-beret/houzz_final/00006.jpg,257,453,222,418
200,/home/dziurawy-beret/houzz_final/00006.jpg,284,480,91,287
201,/home/dziurawy-beret/houzz_final/00006.jpg,347,543,785,981
202,/home/dziurawy-beret/houzz_final/00006.jpg,421,617,280,476
203,/home/dziurawy-beret/houzz_final/00006.jpg,236,432,141,337
204,/home/dziurawy-beret/houzz_final/00006.jpg,285,481,771,967
205,/home/dziurawy-beret/houzz_final/00006.jpg,87,283,557,753
206,/home/dziurawy-beret/houzz_final/00006.jpg,237,433,224,420
207,/home/dziurawy-beret/houzz_final/00006.jpg,232,428,190,386
208,/home/dziurawy-beret/houzz_final/00006.jpg,212,408,493,689
209,/home/dziurawy-beret/houzz_final/00006.jpg,357,553,222,418
210,/home/dziurawy-beret/houzz_final/00007.jpg,241,437,184,380
211,/home/dziurawy-beret/houzz_final/00007.jpg,96,292,459,655
212,/home/dziurawy-beret/houzz_final/00007.jpg,452,648,192,388
213,/home/dziurawy-beret/houzz_final/00007.jpg,215,411,692,888
214,/home/dziurawy-beret/houzz_final/00007.jpg,30,226,409,605
215,/home/dziurawy-beret/houzz_final/00007.jpg,314,510,562,758
216,/home/dziurawy-beret/houzz_final/00007.jpg,3,199,524,720
217,/home/dziurawy-beret/houzz_final/00007.jpg,44,240,142,338
218,/home/dziurawy-beret/houzz_final/00007.jpg,195,391,627,823
219,/home/dziurawy-beret/houzz_final/00007.jpg,291,487,282,478
220,/home/dziurawy-beret/houzz_final/00007.jpg,56,252,291,487
221,/home/dziurawy-beret/houzz_final/00007.jpg,544,740,350,546
222,/home/dziurawy-beret/houzz_final/00007.jpg,457,653,16,212
223,/home/dziurawy-beret/houzz_final/00007.jpg,548,744,291,487
224,/home/dziurawy-beret/houzz_final/00007.jpg,185,381,645,841
225,/home/dziurawy-beret/houzz_final/00007.jpg,494,690,684,880
226,/home/dziurawy-beret/houzz_final/00007.jpg,494,690,784,980
227,/home/dziurawy-beret/houzz_final/00007.jpg,304,500,277,473
228,/home/dziurawy-beret/houzz_final/00007.jpg,95,291,613,809
229,/home/dziurawy-beret/houzz_final/00007.jpg,367,563,622,818
230,/home/dziurawy-beret/houzz_final/00007.jpg,407,603,666,862
231,/home/dziurawy-beret/houzz_final/00007.jpg,424,620,759,955
232,/home/dziurawy-beret/houzz_final/00007.jpg,81,277,165,361
233,/home/dziurawy-beret/houzz_final/00007.jpg,150,346,379,575
234,/home/dziurawy-beret/houzz_final/00007.jpg,556,752,202,398
235,/home/dziurawy-beret/houzz_final/00007.jpg,90,286,527,723
236,/home/dziurawy-beret/houzz_final/00007.jpg,209,405,803,999
237,/home/dziurawy-beret/houzz_final/00007.jpg,480,676,618,814
238,/home/dziurawy-beret/houzz_final/00007.jpg,75,271,347,543
239,/home/dziurawy-beret/houzz_final/00007.jpg,62,258,560,756
240,/home/dziurawy-beret/houzz_final/00008.jpg,470,666,497,693
241,/home/dziurawy-beret/houzz_final/00008.jpg,484,680,88,284
242,/home/dziurawy-beret/houzz_final/00008.jpg,409,605,41,237
243,/home/dziurawy-beret/houzz_final/00008.jpg,379,575,692,888
244,/home/dziurawy-beret/houzz_final/00008.jpg,185,381,476,672
245,/home/dziurawy-beret/houzz_final/00008.jpg,483,679,565,761
246,/home/dziurawy-beret/houzz_final/00008.jpg,266,462,779,975
247,/home/dziurawy-beret/houzz_final/00008.jpg,0,196,72,268
248,/home/dziurawy-beret/houzz_final/00008.jpg,185,381,597,793
249,/home/dziurawy-beret/houzz_final/00008.jpg,76,272,560,756
250,/home/dziurawy-beret/houzz_final/00008.jpg,416,612,4,200
251,/home/dziurawy-beret/houzz_final/00008.jpg,298,494,432,628
252,/home/dziurawy-beret/houzz_final/00008.jpg,426,622,708,904
253,/home/dziurawy-beret/houzz_final/00008.jpg,566,762,569,765
254,/home/dziurawy-beret/houzz_final/00008.jpg,13,209,115,311
255,/home/dziurawy-beret/houzz_final/00008.jpg,253,449,221,417
256,/home/dziurawy-beret/houzz_final/00008.jpg,27,223,261,457
257,/home/dziurawy-beret/houzz_final/00008.jpg,512,708,612,808
258,/home/dziurawy-beret/houzz_final/00008.jpg,503,699,72,268
259,/home/dziurawy-beret/houzz_final/00008.jpg,16,212,532,728
260,/home/dziurawy-beret/houzz_final/00008.jpg,227,423,573,769
261,/home/dziurawy-beret/houzz_final/00008.jpg,52,248,582,778
262,/home/dziurawy-beret/houzz_final/00008.jpg,176,372,49,245
263,/home/dziurawy-beret/houzz_final/00008.jpg,231,427,5,201
264,/home/dziurawy-beret/houzz_final/00008.jpg,537,733,209,405
265,/home/dziurawy-beret/houzz_final/00008.jpg,541,737,44,240
266,/home/dziurawy-beret/houzz_final/00008.jpg,36,232,8,204
267,/home/dziurawy-beret/houzz_final/00008.jpg,408,604,383,579
268,/home/dziurawy-beret/houzz_final/00008.jpg,264,460,63,259
269,/home/dziurawy-beret/houzz_final/00008.jpg,414,610,379,575
270,/home/dziurawy-beret/houzz_final/00009.jpg,187,383,373,569
271,/home/dziurawy-beret/houzz_final/00009.jpg,322,518,793,989
272,/home/dziurawy-beret/houzz_final/00009.jpg,184,380,434,630
273,/home/dziurawy-beret/houzz_final/00009.jpg,96,292,423,619
274,/home/dziurawy-beret/houzz_final/00009.jpg,34,230,637,833
275,/home/dziurawy-beret/houzz_final/00009.jpg,515,711,594,790
276,/home/dziurawy-beret/houzz_final/00009.jpg,560,756,267,463
277,/home/dziurawy-beret/houzz_final/00009.jpg,173,369,106,302
278,/home/dziurawy-beret/houzz_final/00009.jpg,467,663,629,825
279,/home/dziurawy-beret/houzz_final/00009.jpg,283,479,63,259
280,/home/dziurawy-beret/houzz_final/00009.jpg,124,320,216,412
281,/home/dziurawy-beret/houzz_final/00009.jpg,257,453,258,454
282,/home/dziurawy-beret/houzz_final/00009.jpg,89,285,618,814
283,/home/dziurawy-beret/houzz_final/00009.jpg,191,387,597,793
284,/home/dziurawy-beret/houzz_final/00009.jpg,204,400,588,784
285,/home/dziurawy-beret/houzz_final/00009.jpg,71,267,339,535
286,/home/dziurawy-beret/houzz_final/00009.jpg,55,251,767,963
287,/home/dziurawy-beret/houzz_final/00009.jpg,419,615,350,546
288,/home/dziurawy-beret/houzz_final/00009.jpg,69,265,546,742
289,/home/dziurawy-beret/houzz_final/00009.jpg,354,550,659,855
290,/home/dziurawy-beret/houzz_final/00009.jpg,369,565,4,200
291,/home/dziurawy-beret/houzz_final/00009.jpg,220,416,430,626
292,/home/dziurawy-beret/houzz_final/00009.jpg,472,668,703,899
293,/home/dziurawy-beret/houzz_final/00009.jpg,101,297,322,518
294,/home/dziurawy-beret/houzz_final/00009.jpg,572,768,293,489
295,/home/dziurawy-beret/houzz_final/00009.jpg,115,311,601,797
296,/home/dziurawy-beret/houzz_final/00009.jpg,401,597,127,323
297,/home/dziurawy-beret/houzz_final/00009.jpg,519,715,225,421
298,/home/dziurawy-beret/houzz_final/00009.jpg,405,601,755,951
299,/home/dziurawy-beret/houzz_final/00009.jpg,83,279,443,639
300,/home/dziurawy-beret/houzz_final/00010.jpg,149,345,304,500
301,/home/dziurawy-beret/houzz_final/00010.jpg,189,385,40,236
302,/home/dziurawy-beret/houzz_final/00010.jpg,65,261,308,504
303,/home/dziurawy-beret/houzz_final/00010.jpg,194,390,99,295
304,/home/dziurawy-beret/houzz_final/00010.jpg,234,430,603,799
305,/home/dziurawy-beret/houzz_final/00010.jpg,134,330,23,219
306,/home/dziurawy-beret/houzz_final/00010.jpg,494,690,235,431
307,/home/dziurawy-beret/houzz_final/00010.jpg,158,354,708,904
308,/home/dziurawy-beret/houzz_final/00010.jpg,366,562,678,874
309,/home/dziurawy-beret/houzz_final/00010.jpg,289,485,641,837
310,/home/dziurawy-beret/houzz_final/00010.jpg,311,507,230,426
311,/home/dziurawy-beret/houzz_final/00010.jpg,107,303,785,981
312,/home/dziurawy-beret/houzz_final/00010.jpg,246,442,368,564
313,/home/dziurawy-beret/houzz_final/00010.jpg,36,232,419,615
314,/home/dziurawy-beret/houzz_final/00010.jpg,116,312,600,796
315,/home/dziurawy-beret/houzz_final/00010.jpg,526,722,9,205
316,/home/dziurawy-beret/houzz_final/00010.jpg,256,452,268,464
317,/home/dziurawy-beret/houzz_final/00010.jpg,513,709,797,993
318,/home/dziurawy-beret/houzz_final/00010.jpg,567,763,177,373
319,/home/dziurawy-beret/houzz_final/00010.jpg,131,327,387,583
320,/home/dziurawy-beret/houzz_final/00010.jpg,173,369,252,448
321,/home/dziurawy-beret/houzz_final/00010.jpg,225,421,755,951
322,/home/dziurawy-beret/houzz_final/00010.jpg,278,474,360,556
323,/home/dziurawy-beret/houzz_final/00010.jpg,31,227,183,379
324,/home/dziurawy-beret/houzz_final/00010.jpg,193,389,128,324
325,/home/dziurawy-beret/houzz_final/00010.jpg,458,654,38,234
326,/home/dziurawy-beret/houzz_final/00010.jpg,154,350,740,936
327,/home/dziurawy-beret/houzz_final/00010.jpg,266,462,554,750
328,/home/dziurawy-beret/houzz_final/00010.jpg,340,536,766,962
329,/home/dziurawy-beret/houzz_final/00010.jpg,83,279,658,854
330,/home/dziurawy-beret/houzz_final/00011.jpg,281,477,338,534
331,/home/dziurawy-beret/houzz_final/00011.jpg,272,468,88,284
332,/home/dziurawy-beret/houzz_final/00011.jpg,182,378,8,204
333,/home/dziurawy-beret/houzz_final/00011.jpg,1,197,660,856
334,/home/dziurawy-beret/houzz_final/00011.jpg,285,481,228,424
335,/home/dziurawy-beret/houzz_final/00011.jpg,563,759,247,443
336,/home/dziurawy-beret/houzz_final/00011.jpg,269,465,86,282
337,/home/dziurawy-beret/houzz_final/00011.jpg,338,534,683,879
338,/home/dziurawy-beret/houzz_final/00011.jpg,325,521,432,628
339,/home/dziurawy-beret/houzz_final/00011.jpg,158,354,565,761
340,/home/dziurawy-beret/houzz_final/00011.jpg,85,281,238,434
341,/home/dziurawy-beret/houzz_final/00011.jpg,87,283,750,946
342,/home/dziurawy-beret/houzz_final/00011.jpg,476,672,381,577
343,/home/dziurawy-beret/houzz_final/00011.jpg,194,390,512,708
344,/home/dziurawy-beret/houzz_final/00011.jpg,273,469,662,858
345,/home/dziurawy-beret/houzz_final/00011.jpg,42,238,125,321
346,/home/dziurawy-beret/houzz_final/00011.jpg,321,517,354,550
347,/home/dziurawy-beret/houzz_final/00011.jpg,163,359,466,662
348,/home/dziurawy-beret/houzz_final/00011.jpg,356,552,297,493
349,/home/dziurawy-beret/houzz_final/00011.jpg,328,524,505,701
350,/home/dziurawy-beret/houzz_final/00011.jpg,254,450,803,999
351,/home/dziurawy-beret/houzz_final/00011.jpg,221,417,562,758
352,/home/dziurawy-beret/houzz_final/00011.jpg,559,755,772,968
353,/home/dziurawy-beret/houzz_final/00011.jpg,98,294,745,941
354,/home/dziurawy-beret/houzz_final/00011.jpg,513,709,23,219
355,/home/dziurawy-beret/houzz_final/00011.jpg,332,528,507,703
356,/home/dziurawy-beret/houzz_final/00011.jpg,288,484,782,978
357,/home/dziurawy-beret/houzz_final/00011.jpg,125,321,321,517
358,/home/dziurawy-beret/houzz_final/00011.jpg,160,356,231,427
359,/home/dziurawy-beret/houzz_final/00011.jpg,424,620,459,655
360,/home/dziurawy-beret/houzz_final/00012.jpg,160,356,88,284
361,/home/dziurawy-beret/houzz_final/00012.jpg,135,331,762,958
362,/home/dziurawy-beret/houzz_final/00012.jpg,82,278,779,975
363,/home/dziurawy-beret/houzz_final/00012.jpg,498,694,5,201
364,/home/dziurawy-beret/houzz_final/00012.jpg,430,626,488,684
365,/home/dziurawy-beret/houzz_final/00012.jpg,144,340,369,565
366,/home/dziurawy-beret/houzz_final/00012.jpg,263,459,635,831
367,/home/dziurawy-beret/houzz_final/00012.jpg,350,546,72,268
368,/home/dziurawy-beret/houzz_final/00012.jpg,390,586,456,652
369,/home/dziurawy-beret/houzz_final/00012.jpg,174,370,338,534
370,/home/dziurawy-beret/houzz_final/00012.jpg,7,203,274,470
371,/home/dziurawy-beret/houzz_final/00012.jpg,90,286,739,935
372,/home/dziurawy-beret/houzz_final/00012.jpg,88,284,178,374
373,/home/dziurawy-beret/houzz_final/00012.jpg,308,504,344,540
374,/home/dziurawy-beret/houzz_final/00012.jpg,60,256,551,747
375,/home/dziurawy-beret/houzz_final/00012.jpg,173,369,733,929
376,/home/dziurawy-beret/houzz_final/00012.jpg,462,658,515,711
377,/home/dziurawy-beret/houzz_final/00012.jpg,449,645,710,906
378,/home/dziurawy-beret/houzz_final/00012.jpg,237,433,786,982
379,/home/dziurawy-beret/houzz_final/00012.jpg,520,716,801,997
380,/home/dziurawy-beret/houzz_final/00012.jpg,469,665,426,622
381,/home/dziurawy-beret/houzz_final/00012.jpg,228,424,108,304
382,/home/dziurawy-beret/houzz_final/00012.jpg,137,333,256,452
383,/home/dziurawy-beret/houzz_final/00012.jpg,549,745,308,504
384,/home/dziurawy-beret/houzz_final/00012.jpg,515,711,647,843
385,/home/dziurawy-beret/houzz_final/00012.jpg,199,395,315,511
386,/home/dziurawy-beret/houzz_final/00012.jpg,478,674,70,266
387,/home/dziurawy-beret/houzz_final/00012.jpg,84,280,182,378
388,/home/dziurawy-beret/houzz_final/00012.jpg,253,449,802,998
389,/home/dziurawy-beret/houzz_final/00012.jpg,97,293,49,245
390,/home/dziurawy-beret/houzz_final/00013.jpg,476,672,182,378
391,/home/dziurawy-beret/houzz_final/00013.jpg,548,744,86,282
392,/home/dziurawy-beret/houzz_final/00013.jpg,100,296,79,275
393,/home/dziurawy-beret/houzz_final/00013.jpg,173,369,625,821
394,/home/dziurawy-beret/houzz_final/00013.jpg,255,451,759,955
395,/home/dziurawy-beret/houzz_final/00013.jpg,59,255,157,353
396,/home/dziurawy-beret/houzz_final/00013.jpg,393,589,85,281
397,/home/dziurawy-beret/houzz_final/00013.jpg,114,310,122,318
